"longitude","latitude","height"
"-119.9956","39.97069","10040.05"
"-119.86682","40.07272","10040.2"
"-119.74329","40.17004","10040.38"
"-119.61475","40.27084","10040.57"
"-119.48225","40.37425","10040.77"
"-119.36212","40.46764","10040.95"
"-119.23717","40.56432","10041.15"
"-119.11108","40.66152","10041.4"
"-118.9834","40.75946","10041.66"
"-118.85547","40.85713","10041.97"
"-118.72528","40.95625","10042.26"
"-118.59631","41.05385","10042.52"
"-118.46595","41.15213","10042.76"
"-118.34192","41.24524","10042.98"
"-118.21114","41.34295","10043.29"
"-118.20084","41.35063","10043.32"
"-118.03749","41.47218","10043.8"
"-118.02363","41.48293","10043.85"
"-118.00575","41.49732","10043.91"
"-117.99279","41.50822","10043.95"
"-117.88224","41.62019","10044.46"
"-117.77487","41.73303","10044.97"
"-117.71091","41.79902","10045.22"
"-117.54896","41.96512","10045.77"
"-117.44167","42.07448","10046.02"
"-117.33009","42.18782","10046.24"
"-117.22356","42.29567","10046.47"
"-117.11202","42.40792","10046.72"
"-117.00414","42.51599","10047.01"
"-116.89089","42.62896","10047.23"
"-116.78223","42.73691","10047.44"
"-116.67059","42.84728","10047.47"
"-116.56448","42.95175","10047.46"
"-116.45987","43.05432","10047.4"
"-116.35005","43.16137","10047.34"
"-116.24506","43.26334","10047.36"
"-116.13922","43.36574","10047.47"
"-116.03102","43.46997","10047.65"
"-115.91975","43.58192","10047.9"
"-115.81421","43.69277","10048.15"
"-115.70801","43.80258","10048.42"
"-115.59547","43.91822","10048.71"
"-115.48815","44.02803","10048.97"
"-115.38025","44.13795","10049.29"
"-115.26595","44.25382","10049.57"
"-115.15695","44.36372","10049.78"
"-115.04876","44.47243","10049.92"
"-114.94008","44.5811","10049.96"
"-114.83057","44.68991","10049.93"
"-114.72199","44.79744","10049.89"
"-114.61474","44.90318","10049.86"
"-114.50775","45.0081","10049.83"
"-114.39586","45.11742","10049.89"
"-114.28724","45.22288","10049.95"
"-114.1452","45.36018","10050.06"
"-114.03063","45.47031","10050.15"
"-113.91023","45.56812","10050.28"
"-113.77957","45.67081","10050.45"
"-113.65418","45.76769","10050.63"
"-113.52166","45.86923","10050.8"
"-113.39298","45.9674","10050.95"
"-113.25732","46.07053","10051"
"-113.12656","46.16925","10050.95"
"-112.99599","46.26736","10050.88"
"-112.85692","46.37138","10050.79"
"-112.72378","46.47044","10050.7"
"-112.59017","46.56935","10050.71"
"-112.45451","46.66919","10050.75"
"-112.40219","46.7075","10050.75"
"-112.18308","46.86731","10050.72"
"-112.04336","46.9686","10050.62"
"-111.91223","47.07069","10050.47"
"-111.78719","47.17534","10050.26"
"-111.65659","47.28245","10050.09"
"-111.52737","47.38783","10049.95"
"-111.39635","47.49399","10049.81"
"-111.26383","47.60092","10049.73"
"-111.13261","47.70612","10049.56"
"-110.9972","47.81413","10049.38"
"-110.86276","47.92076","10049.15"
"-110.72704","48.02771","10048.89"
"-110.59324","48.13269","10048.71"
"-110.45213","48.24274","10048.51"
"-110.29809","48.36214","10048.31"
"-110.15818","48.46991","10048.12"
"-110.01434","48.58001","10047.89"
"-109.87766","48.68405","10047.65"
"-109.73201","48.79427","10047.4"
"-109.59253","48.89912","10047.26"
"-109.4451","49.00946","10047.11"
"-109.29828","49.12085","10047.1"
"-109.15861","49.22635","10047.09"
"-109.00909","49.33844","10047.04"
"-108.86092","49.44878","10046.98"
"-108.71825","49.55443","10046.88"
"-108.56899","49.66429","10046.72"
"-108.42393","49.77044","10046.57"
"-108.27145","49.88123","10046.36"
"-108.1247","49.98719","10046.11"
"-107.97197","50.09683","10045.75"
"-107.82331","50.20291","10045.33"
"-107.68083","50.30452","10044.86"
"-107.47946","50.46744","10044.09"
"-107.34006","50.57956","10043.61"
"-107.20117","50.69032","10043.17"
"-107.06024","50.80199","10042.81"
"-106.91856","50.91358","10042.53"
"-106.7762","51.02502","10042.3"
"-106.63352","51.136","10042.14"
"-106.48335","51.25195","10042"
"-106.33897","51.36282","10041.91"
"-106.19385","51.47346","10041.81"
"-106.05192","51.58099","10041.72"
"-105.89882","51.69621","10041.62"
"-105.75058","51.80705","10041.51"
"-105.60936","51.91196","10041.39"
"-105.45824","52.02352","10041.25"
"-105.30106","52.13869","10041.07"
"-105.14606","52.25153","10040.87"
